country,year,EUaid,CIRI,polity,educm,logexp,fdi,logimp,loggdpc,demregion,regime,region
Benin,1995,2.462188244,11.5,6,2.299999952,2.626691341,0.066647954,3.334663391,5.710072994,0.170212761,2,Sub-Saharan Africa
Benin,1993,3.708527803,11,6,2.099999905,2.744035244,6.432002068,3.33573699,5.705940723,0.155555561,2,Sub-Saharan Africa
Bolivia,1995,3.39334774,12,9,6.300000191,2.948680878,2.158786297,3.345908642,6.810894012,0.555555582,2,Latin America and Caribbean
Bolivia,1990,2.64063549,11.25,9,5.699999809,2.932123899,-0.219679087,3.141511202,6.733890533,0.555555582,2,Latin America and Caribbean
Bolivia,1996,3.206398249,11.75,9,6.5,3.075620174,2.176813841,3.303126574,6.833493233,0.555555582,2,Latin America and Caribbean
Bolivia,2004,4.120605469,10,8,7.5,3.074287176,8.558259964,3.322002888,6.920795918,0.666666687,2,Latin America and Caribbean
Bolivia,1989,3.228417635,11.25,9,5.5,2.982695341,1.568129063,3.20639801,6.727456093,0.555555582,2,Latin America and Caribbean
Bolivia,1999,3.355626345,11,9,6.900000095,3.049775362,9.218073845,3.37960124,6.903958797,0.611111104,2,Latin America and Caribbean
Bolivia,2000,3.350625992,10.75,8.75,7,2.980551958,11.17152214,3.483774662,6.93184042,0.611111104,2,Latin America and Caribbean
Bolivia,1994,3.376204014,12,9,6.199999809,2.998017788,1.649578929,3.36953783,6.792356014,0.666666687,2,Latin America and Caribbean
Bolivia,1991,3.424922943,11.5,9,5.800000191,3.113435984,-0.517389953,3.142274141,6.748551369,0.5,2,Latin America and Caribbean
Bolivia,1992,3.147675276,11.5,9,5.900000095,3.125750542,0.558798909,3.174977779,6.771048546,0.555555582,2,Latin America and Caribbean
Bolivia,1993,3.588783026,11.5,9,6.099999905,3.067091942,0.973188758,3.294562817,6.799275398,0.611111104,2,Latin America and Caribbean
Bolivia,2001,3.154549599,10.5,8.5,7.099999905,2.826182842,12.19665051,3.306423426,6.915313244,0.555555582,2,Latin America and Caribbean
Bolivia,1997,3.558947802,11.5,9,6.599999905,3.115798235,5.847958088,3.302722931,6.856624603,0.5,2,Latin America and Caribbean
Bolivia,1998,3.569037676,11.25,9,6.699999809,3.117147446,6.409396648,3.305949211,6.877224922,0.611111104,2,Latin America and Caribbean
Bolivia,2002,3.177479982,10.25,8.25,7.300000191,2.905519962,8.768306732,3.307729959,6.919592381,0.611111104,2,Latin America and Caribbean
Bolivia,2003,3.003330469,10,8,7.400000095,2.994338751,8.669211388,3.229050875,6.916099548,0.666666687,2,Latin America and Caribbean
Botswana,1989,2.504473448,11.75,7,2.599999905,4.319214344,5.779867172,3.880371094,7.482356071,0.045454547,3,Sub-Saharan Africa
